

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

113.220  000.056  000.056: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/lush.nvim/plugin/lush.vim
113.693  000.145  000.145: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
113.851  000.030  000.030: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-jdtls/plugin/nvim_jdtls.vim
114.175  000.099  000.099: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.vim
115.111  000.703  000.703: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.vim
115.479  000.039  000.039: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/elixir.vim
115.536  000.023  000.023: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/fish.vim
115.585  000.021  000.021: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdresource.vim
115.659  000.016  000.016: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdscript.vim
115.702  000.015  000.015: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gomod.vim
115.752  000.023  000.023: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/graphql.vim
115.811  000.024  000.024: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/hcl.vim
115.853  000.014  000.014: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/julia.vim
115.902  000.021  000.021: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ledger.vim
115.946  000.015  000.015: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/nix.vim
115.990  000.017  000.017: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ql.vim
116.049  000.027  000.027: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
116.092  000.015  000.015: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/surface.vim
116.134  000.014  000.014: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/teal.vim
116.175  000.015  000.015: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/yang.vim
116.220  000.015  000.015: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/zig.vim
117.990  001.629  001.629: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
118.910  000.699  000.699: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
119.249  000.150  000.150: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-ts-context-commentstring/plugin/ts_context_commentstring.vim
119.513  000.022  000.022: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/which-key.nvim/plugin/which-key.vim
121.262  000.069  000.069: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-markdown/ftdetect/markdown.vim
121.504  000.057  000.057: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-markdown/ftdetect/markdown.vim
121.733  000.054  000.054: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-markdown/ftdetect/markdown.vim
122.098  000.050  000.050: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/plugin/matchup.vim
122.426  000.041  000.041: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/plugin/matchup.vim
122.674  000.038  000.038: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/plugin/matchup.vim
124.069  000.994  000.994: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/icy/colors/icy.vim
124.873  000.032  000.032: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vimtex/ftdetect/tex.vim
124.886  004.804  003.467: sourcing /home/elianiva/.local/share/nvim/site/pack/loader/start/packer.nvim/plugin/packer_compiled.lua
125.599  000.054  000.054: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/lush.nvim/plugin/lush.vim
126.042  000.072  000.072: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
126.229  000.018  000.018: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-jdtls/plugin/nvim_jdtls.vim
126.464  000.014  000.014: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.vim
126.703  000.015  000.015: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.vim
127.030  000.040  000.040: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/elixir.vim
127.109  000.024  000.024: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/fish.vim
127.158  000.021  000.021: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdresource.vim
127.207  000.016  000.016: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdscript.vim
127.250  000.015  000.015: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gomod.vim
127.300  000.023  000.023: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/graphql.vim
127.351  000.024  000.024: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/hcl.vim
127.397  000.015  000.015: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/julia.vim
127.445  000.021  000.021: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ledger.vim
127.491  000.015  000.015: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/nix.vim
127.535  000.016  000.016: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ql.vim
127.590  000.028  000.028: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
127.654  000.017  000.017: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/surface.vim
127.698  000.014  000.014: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/teal.vim
127.740  000.015  000.015: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/yang.vim
127.781  000.014  000.014: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/zig.vim
128.341  000.416  000.416: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
128.800  000.074  000.074: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
129.108  000.110  000.110: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-ts-context-commentstring/plugin/ts_context_commentstring.vim
129.365  000.019  000.019: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/which-key.nvim/plugin/which-key.vim
131.157  000.061  000.061: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-markdown/ftdetect/markdown.vim
131.388  000.055  000.055: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-markdown/ftdetect/markdown.vim
131.615  000.055  000.055: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-markdown/ftdetect/markdown.vim
131.957  000.049  000.049: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/plugin/matchup.vim
132.202  000.038  000.038: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/plugin/matchup.vim
132.444  000.037  000.037: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/plugin/matchup.vim
133.867  000.980  000.980: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/icy/colors/icy.vim
134.768  000.053  000.053: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vimtex/ftdetect/tex.vim
134.786  004.732  003.405: sourcing /home/elianiva/.local/share/nvim/site/pack/loader/start/packer.nvim/plugin/packer_compiled.lua
135.653  000.059  000.059: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/lush.nvim/plugin/lush.vim
136.032  000.052  000.052: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
136.170  000.016  000.016: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-jdtls/plugin/nvim_jdtls.vim
136.405  000.013  000.013: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.vim
136.643  000.015  000.015: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.vim
137.001  000.042  000.042: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/elixir.vim
